employee_id,department,gender,age,length_of_service,previous_year_rating,awards_won?,no_of_trainings,avg_training_score,is_promoted
65438,Sales & Marketing,f,35,8,5,0,1,49,0
65141,Operations,m,30,4,5,0,1,60,0
7513,Sales & Marketing,m,34,7,3,0,1,50,0
2542,Sales & Marketing,m,39,10,1,0,2,50,0
48945,Technology,m,45,2,3,0,1,73,0
58896,Analytics,m,31,7,3,0,2,85,0
20379,Operations,f,31,5,3,0,1,59,0
16290,Operations,m,33,6,3,0,1,63,0
73202,Analytics,m,28,5,4,0,1,83,0
28911,Sales & Marketing,m,32,5,5,0,1,54,0
29934,Technology,m,30,1,,0,1,77,0
49017,Sales & Marketing,f,35,3,5,0,1,50,1
60051,Sales & Marketing,m,49,5,5,0,1,49,0
38401,Technology,m,39,16,3,0,2,80,0
77040,R&D,m,37,7,3,0,1,84,0
43931,Operations,m,37,10,1,0,1,60,0
7152,Technology,m,38,5,3,0,1,77,0
9403,Sales & Marketing,m,34,4,1,0,1,51,0
17436,Sales & Marketing,m,34,8,5,0,1,46,0
54461,Operations,m,37,9,3,0,1,59,0
12067,Procurement,m,35,7,3,0,1,75,0
33332,Operations,m,41,11,4,0,1,57,0
58789,Finance,f,28,4,3,0,1,63,0
71177,Procurement,m,27,1,,0,1,70,0
52057,Finance,m,39,7,5,0,2,59,0
26585,Technology,m,27,3,5,0,1,83,0
37749,Procurement,m,31,4,5,0,1,68,0
2370,Technology,m,33,4,4,0,1,79,0
8219,Analytics,m,29,3,5,0,1,80,0
74759,Sales & Marketing,m,26,1,,0,1,44,0
27395,Procurement,m,37,10,5,0,1,72,0
58536,Finance,m,26,2,1,0,2,61,0
35465,Sales & Marketing,f,24,2,1,0,1,48,0
51756,Operations,m,57,6,4,0,2,58,0
57011,Analytics,m,27,3,5,0,2,87,0
77064,Sales & Marketing,m,40,4,2,0,1,47,0
64062,Technology,m,33,4,4,0,1,75,0
47123,Sales & Marketing,f,40,3,5,0,1,47,0
56275,Sales & Marketing,m,42,5,5,0,1,51,0
58304,Sales & Marketing,m,33,6,5,0,1,51,1
25014,Technology,m,34,10,3,0,1,80,0
40097,Operations,f,23,2,4,0,2,57,0
23560,HR,m,59,26,4,0,1,52,0
17423,Sales & Marketing,m,24,2,2,0,3,48,0
61758,Analytics,m,44,12,5,0,1,88,0
75009,Procurement,f,50,11,5,0,1,71,0
17876,Procurement,f,37,4,4,0,1,71,0
36924,Technology,m,40,11,3,0,1,80,0
50408,Sales & Marketing,m,30,3,3,0,1,49,0
18013,Procurement,f,56,12,3,0,1,73,0
24104,Finance,m,20,2,4,0,1,60,0
32083,Sales & Marketing,f,31,8,3,0,1,48,0
38330,Procurement,m,40,12,3,0,1,65,0
33690,HR,m,30,6,1,0,1,50,0
73161,Operations,m,39,5,3,0,1,62,0
13596,Analytics,m,26,2,2,0,2,85,0
45709,Sales & Marketing,f,29,1,,0,1,49,0
32709,R&D,m,40,5,3,0,1,84,0
26599,Sales & Marketing,m,27,1,,0,2,47,0
32656,Sales & Marketing,m,40,7,4,0,1,52,0
17673,Sales & Marketing,m,50,17,4,0,1,47,1
3113,Sales & Marketing,m,25,3,3,0,1,53,0
9150,Analytics,f,28,1,,0,1,80,0
14107,Sales & Marketing,m,35,2,4,0,1,52,0
58747,R&D,m,34,5,5,0,1,87,0
3342,Operations,f,31,3,3,0,1,58,0
77981,Finance,m,27,1,,1,1,58,1
16502,Sales & Marketing,m,27,1,,0,1,61,1
73729,Procurement,m,30,6,4,0,1,75,0
45624,Analytics,m,30,7,3,0,1,84,1
75677,Operations,f,50,5,5,0,1,59,0
24040,Technology,m,34,7,5,0,1,78,1
68082,Sales & Marketing,f,41,12,1,0,1,52,0
51786,Sales & Marketing,m,32,6,4,0,1,44,0
77577,Sales & Marketing,m,50,14,3,0,1,52,0
54782,Sales & Marketing,m,38,2,4,0,1,49,1
52368,Sales & Marketing,m,29,5,1,0,2,51,0
75103,Sales & Marketing,m,35,3,4,0,1,53,0
7520,Analytics,m,25,2,3,0,1,91,0
59147,Sales & Marketing,m,30,3,3,0,1,58,1
53092,Technology,m,47,7,3,0,1,79,0
34564,Operations,m,35,7,2,0,1,53,0
66013,Sales & Marketing,m,25,2,3,0,2,53,0
77135,R&D,m,36,8,4,0,1,82,0
44575,Legal,m,29,1,,0,1,65,1
47498,Operations,f,42,11,5,0,1,60,1
20798,HR,f,28,6,2,0,1,52,0
69094,Sales & Marketing,m,39,9,1,0,1,49,0
22261,Procurement,m,32,3,5,0,1,69,1
9589,Sales & Marketing,f,31,1,,0,1,51,0
62658,Sales & Marketing,f,20,1,,0,1,55,0
21628,Analytics,m,34,8,3,0,1,85,0
68484,Procurement,m,46,3,4,0,2,74,0
44523,HR,m,47,7,3,0,1,44,0
35420,Operations,f,44,13,4,0,1,53,0
43923,Analytics,m,31,4,4,0,1,86,0
64109,Technology,f,23,1,,0,1,77,0
41983,Operations,f,33,5,3,0,1,57,0
21440,Sales & Marketing,m,41,12,3,0,1,52,0
51256,Finance,m,60,17,5,0,1,59,0
66635,Operations,m,31,4,5,0,1,63,1
16027,Operations,f,37,11,3,0,1,57,0
46020,Analytics,m,39,4,3,0,2,83,0
28509,Sales & Marketing,m,40,8,5,0,1,54,0
33587,Sales & Marketing,m,42,4,5,0,1,50,0
21387,Operations,m,35,6,4,0,1,57,1
55927,Operations,f,41,6,4,0,1,62,0
